model,month,count,baseline_avg6,signal
ACCENT,2022-07,1,1.3333333333333333,False
ACCENT,2022-08,1,1.1666666666666667,False
ACCENT,2022-09,1,1.0,False
ACCENT,2022-10,0,1.1666666666666667,False
ACCENT,2022-11,2,1.0,False
ACCENT,2022-12,1,1.1666666666666667,False
ACCENT,2023-01,5,1.0,False
ACCENT,2023-02,1,1.6666666666666667,False
ACCENT,2023-03,2,1.6666666666666667,False
ACCENT,2023-04,2,1.8333333333333333,False
ACCENT,2023-05,1,2.1666666666666665,False
ACCENT,2023-06,3,2.0,False
ACCENT,2023-07,3,2.3333333333333335,False
ACCENT,2023-08,2,2.0,False
ACCENT,2023-09,3,2.1666666666666665,False
ACCENT,2023-10,2,2.3333333333333335,False
ACCENT,2023-11,6,2.3333333333333335,False
ACCENT,2023-12,3,3.1666666666666665,False
ACCENT,2024-01,3,3.1666666666666665,False
ACCENT,2024-02,4,3.1666666666666665,False
ACCENT,2024-03,6,3.5,False
ACCENT,2024-04,2,4.0,False
ACCENT,2024-05,3,4.0,False
ACCENT,2024-06,4,3.5,False
ACCENT,2024-07,3,3.6666666666666665,False
ACCENT,2024-08,2,3.6666666666666665,False
ACCENT,2024-09,2,3.3333333333333335,False
ACCENT,2024-10,4,2.6666666666666665,False
ACCENT,2024-11,2,3.0,False
ACCENT,2024-12,0,2.8333333333333335,False
ACCENT,2025-01,2,2.1666666666666665,False
ACCENT,2025-02,3,2.0,False
ACCENT,2025-03,0,2.1666666666666665,False
ACCENT,2025-04,2,1.8333333333333333,False
ACCENT,2025-05,2,1.5,False
ACCENT,2025-06,0,1.5,False
ACCENT,2025-07,1,1.5,False
ACCENT,2025-08,1,1.3333333333333333,False
ACCENT,2025-09,4,1.0,False
ACCENT,2025-10,2,1.6666666666666667,False
ACCENT,2025-11,2,1.6666666666666667,False
ACCENT,2025-12,3,1.6666666666666667,False
ACCENT,2026-01,1,2.1666666666666665,False
ACCENT,2026-02,0,2.1666666666666665,False
ACCENT,2026-03,0,2.0,False
ACCENT,2026-04,3,1.3333333333333333,False
ACCENT,2026-05,2,1.5,False
ACCENT,2026-06,0,1.5,False
AMANTI,2022-07,0,0.0,False
AMANTI,2022-08,0,0.0,False
AMANTI,2022-09,0,0.0,False
AMANTI,2022-10,0,0.0,False
AMANTI,2022-11,0,0.0,False
AMANTI,2022-12,0,0.0,False
AMANTI,2023-01,2,0.0,False
AMANTI,2023-02,0,0.3333333333333333,False
AMANTI,2023-03,0,0.3333333333333333,False
AMANTI,2023-04,0,0.3333333333333333,False
AMANTI,2023-05,0,0.3333333333333333,False
AMANTI,2023-06,0,0.3333333333333333,False
AMANTI,2023-07,0,0.3333333333333333,False
AMANTI,2023-08,0,0.0,False
AMANTI,2023-09,0,0.0,False
AMANTI,2023-10,0,0.0,False
AMANTI,2023-11,0,0.0,False
AMANTI,2023-12,0,0.0,False
AMANTI,2024-01,0,0.0,False
AMANTI,2024-02,0,0.0,False
AMANTI,2024-03,0,0.0,False
AMANTI,2024-04,0,0.0,False
AMANTI,2024-05,0,0.0,False
AMANTI,2024-06,0,0.0,False
AMANTI,2024-07,0,0.0,False
AMANTI,2024-08,0,0.0,False
AMANTI,2024-09,0,0.0,False
AMANTI,2024-10,0,0.0,False
AMANTI,2024-11,0,0.0,False
AMANTI,2024-12,0,0.0,False
AMANTI,2025-01,0,0.0,False
AMANTI,2025-02,0,0.0,False
AMANTI,2025-03,0,0.0,False
AMANTI,2025-04,0,0.0,False
AMANTI,2025-05,0,0.0,False
AMANTI,2025-06,0,0.0,False
AMANTI,2025-07,0,0.0,False
AMANTI,2025-08,0,0.0,False
AMANTI,2025-09,0,0.0,False
AMANTI,2025-10,0,0.0,False
AMANTI,2025-11,0,0.0,False
AMANTI,2025-12,0,0.0,False
AMANTI,2026-01,0,0.0,False
AMANTI,2026-02,0,0.0,False
AMANTI,2026-03,0,0.0,False
AMANTI,2026-04,0,0.0,False
AMANTI,2026-05,0,0.0,False
AMANTI,2026-06,0,0.0,False
AZERA,2022-07,1,0.5,False
AZERA,2022-08,0,0.6666666666666666,False
AZERA,2022-09,0,0.6666666666666666,False
AZERA,2022-10,0,0.6666666666666666,False
AZERA,2022-11,0,0.6666666666666666,False
AZERA,2022-12,0,0.5,False
AZERA,2023-01,0,0.16666666666666666,False
AZERA,2023-02,0,0.0,False
AZERA,2023-03,0,0.0,False
AZERA,2023-04,1,0.0,False
AZERA,2023-05,0,0.16666666666666666,False
AZERA,2023-06,2,0.16666666666666666,False
AZERA,2023-07,4,0.5,False
AZERA,2023-08,0,1.1666666666666667,False
AZERA,2023-09,2,1.1666666666666667,False
AZERA,2023-10,1,1.5,False
AZERA,2023-11,1,1.5,False
AZERA,2023-12,1,1.6666666666666667,False
AZERA,2024-01,0,1.5,False
AZERA,2024-02,0,0.8333333333333334,False
AZERA,2024-03,4,0.8333333333333334,False
AZERA,2024-04,4,1.1666666666666667,False
AZERA,2024-05,0,1.6666666666666667,False
AZERA,2024-06,0,1.5,False
AZERA,2024-07,0,1.3333333333333333,False
AZERA,2024-08,0,1.3333333333333333,False
AZERA,2024-09,0,1.3333333333333333,False
AZERA,2024-10,0,0.6666666666666666,False
AZERA,2024-11,2,0.0,False
AZERA,2024-12,1,0.3333333333333333,False
AZERA,2025-01,0,0.5,False
AZERA,2025-02,0,0.5,False
AZERA,2025-03,0,0.5,False
AZERA,2025-04,1,0.5,False
AZERA,2025-05,0,0.6666666666666666,False
AZERA,2025-06,0,0.3333333333333333,False
AZERA,2025-07,0,0.16666666666666666,False
AZERA,2025-08,0,0.16666666666666666,False
AZERA,2025-09,0,0.16666666666666666,False
AZERA,2025-10,0,0.16666666666666666,False
AZERA,2025-11,0,0.0,False
AZERA,2025-12,0,0.0,False
AZERA,2026-01,0,0.0,False
AZERA,2026-02,0,0.0,False
AZERA,2026-03,2,0.0,False
AZERA,2026-04,0,0.3333333333333333,False
AZERA,2026-05,0,0.3333333333333333,False
AZERA,2026-06,0,0.3333333333333333,False
BORREGO,2022-07,0,0.0,False
BORREGO,2022-08,0,0.0,False
BORREGO,2022-09,0,0.0,False
BORREGO,2022-10,0,0.0,False
BORREGO,2022-11,0,0.0,False
BORREGO,2022-12,0,0.0,False
BORREGO,2023-01,0,0.0,False
