제작자,차명,차명_정규화,모델_영문,미국판매여부,생산기간(부터),생산기간(까지),리콜개시일,리콜개시일_dt,리콜대수,리콜대수_n,sw관련,리콜사유
현대자동차,트라고,트라고,트라고,False,2011-03-07,2011-06-25,2012-03-07,2012-03-07,362,362,False,슬리핑 베드 내부 패드의 난연성(難燃性)이 안전기준에 부적합
현대자동차,메가트럭와이드캡,메가트럭와이드캡,메가트럭와이드캡,False,2011-03-07,2011-06-25,2012-03-07,2012-03-07,21,21,False,슬리핑 베드 내부 패드의 난연성(難燃性)이 안전기준에 부적합
현대자동차,뉴파워트럭,뉴파워트럭,뉴파워트럭,False,2011-03-07,2011-06-25,2012-03-07,2012-03-07,32,32,False,슬리핑 베드 내부 패드의 난연성(難燃性)이 안전기준에 부적합
현대자동차,벨로스터,벨로스터,벨로스터,False,2011-05-15,2011-07-03,2012-03-07,2012-03-07,979,979,False,좌석 시트커버의 난연성(難燃性)이 안전기준에 부적합
현대자동차,엑센트,엑센트,ACCENT,True,2010-11-16,2011-05-14,2012-03-07,2012-03-07,7238,7238,True,정면충돌 시 배터리 전기배선 손상으로 전기합선에 의한 화재가 발생할 가능성으로 안전운행에 지장
기아,모하비,모하비,MOHAVE,False,2008-05-02,2009-07-13,2012-06-04,2012-06-04,3182,3182,False,설정속도(약64km/h) 이상에서 충돌 사고 시 운전자의 발목 부상을 줄이기 위해 브레이크 페달이 파손되게 제작되었으나 설정속도 이하 충돌 사고 시에도 파손되어 제동불량으로 2차 사고의 가능성으로 안전운행에 지장
현대자동차,벨로스터,벨로스터,벨로스터,False,2011-04-13,2012-02-25,2012-12-17,2012-12-17,211,211,False,후륜 주차브레이크의 작동케이블과 브레이크 캘리퍼 연결부위 부식으로 인해 경사로 주차 시 차량이 뒤로 밀릴 수 있어 안전운행에 지장
현대자동차,벨로스터,벨로스터,벨로스터,False,2011-11-01,2012-04-17,2012-12-17,2012-12-17,1297,1297,False,파노라마 선루프를 장착하는 과정에서 발생한 미세한 선루프 균열로 주행 중 선루프 유리가 깨질 수 있어 안전운행에 지장
기아,모닝,모닝,MORNING,False,2011-01-17,2012-03-29,2012-12-17,2012-12-17,259,259,False,후륜 주차브레이크의 작동케이블과 브레이크 캘리퍼 연결부위 부식으로 인해 경사로 주차 시 차량이 뒤로 밀릴 수 있어 안전운행에 지장
현대자동차,베라크루즈,베라크루즈,베라크루즈,False,2008-09-01,2008-11-30,2013-04-11,2013-04-11,2021,2021,False,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,싼타페,싼타페,SANTA FE,True,2010-06-01,2011-06-30,2013-04-11,2013-04-11,33667,33667,False,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,아반떼,아반떼,ELANTRA,True,2009-07-10,2010-03-31,2013-04-11,2013-04-11,79638,79638,False,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,쏘울,쏘울,SOUL,True,2010-06-01,2011-06-14,2013-04-11,2013-04-11,22977,22977,False,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,카렌스,카렌스,CARENS,False,2010-06-01,2010-07-30,2013-04-11,2013-04-11,785,785,False,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,쏘렌토,쏘렌토,SORENTO,True,2010-10-01,2011-04-10,2013-04-11,2013-04-11,23421,23421,False,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,제네시스 쿠페,제네시스 쿠페,GENESIS,False,2008-08-01,2010-09-14,2013-10-01,2013-10-01,12036,12036,False,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
