발표일,출처파일,제조사,차종_원문,대수,원인,증상,시정시작일,sw관련,_raw
2024-12-18,241218조간_기아·현대_등_자발적_시정조치자동차정책과,기아,K7,137553,,,,True,"① (기아) K7 137,553대는 전자제어유압장치(HECU) 내구성 부족에 따른
화재 발생 가능성으로 12월 16일부터 시정조치를 진행하고 있고, 쏘렌토
하이브리드 등 2개 차종 100,023대는 주간주행등이 정상 작동하지 않는
안전기준 부적합으로 12월 18일부터 시정조치에 들어간다."
2024-12-18,241218조간_기아·현대_등_자발적_시정조치자동차정책과,현대,넥쏘,36122,,,,False,"② (현대) 넥쏘 등 4개 차종 36,122대는 온도 감응식 압력해제 밸브* 제조
불량에 따른 화재 발생 가능성으로 12월 20일부터 시정조치에 들어가고,
아이오닉5 2,517대는 주간주행등이 정상 작동하지 않는 안전기준 부적합
으로 12월 24일부터 시정조치에 들어간다.
* 온도 감응식 압력해제 밸브 : 차량 화재시 수소탱크 내 수소를 배출하는 부품"
2024-12-18,241218조간_기아·현대_등_자발적_시정조치자동차정책과,,,31057,,,,True,"③ (한국지엠, 지엠아시아퍼시픽) 트랙스 크로스오버 등 13개 차종
31,057대는 연료펌프 컨트롤 모듈 내구성 부족에 따라 시동이 꺼질
가능성으로 12월 23일부터 시정조치에 들어간다."
2024-12-18,241218조간_기아·현대_등_자발적_시정조치자동차정책과,혼다,PILOT 245,245,,연료 주입 시 연료 누출,,True,"④ (혼다) PILOT 245대는 연료탱크 파이프와 연료 주입구의 체결 불량에
따른 연료 누출 가능성으로 12월 20일부터 시정조치에 들어간다.
□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터
(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서
차량번호 및 차대번호를 입력하고 확인할 수 있다.
- 1 -

담당 부서 모빌리티자동차국 책임자 과 장 김은정(044-201-3817)
자동차정책과 사무관 정미정(044-201-3843)
담당자
자동차안전팀 사무관 송"
2025-08-07,2500807석간 벤츠·현대 등 자발적 시정조치자동차정책과,벤츠,E 350 4MATIC 차종,16957,고전압배터리 관리시스템 소프트웨어 오류,시동이 꺼질,,True,"① (벤츠) E 350 4MATIC 차종 16,957대는 엔진제어장치 소프트웨어
오류로 인해 시동이 꺼질 가능성으로, EQE 350 4MATIC 등 5개 차종
523대는 고전압배터리 관리시스템 소프트웨어 오류로 인해 시동이 꺼질
가능성으로 각각 7월 25일부터 시정조치를 진행하고 있다."
2025-08-07,2500807석간 벤츠·현대 등 자발적 시정조치자동차정책과,현대,쏠라티,5974,휠 고정용 너트 체결 불량,인해 주행 중 너트 풀림 및 휠 이탈 발생,,False,"② (현대) 쏠라티 등 2개 차종 5,974대는 휠 고정용 너트 체결 불량으로
인해 주행 중 너트 풀림 및 휠 이탈 발생 가능성으로 7월 31일부터 시정
조치를 진행하고 있다."
2025-08-07,2500807석간 벤츠·현대 등 자발적 시정조치자동차정책과,만트럭,TGM 카고,643,,,,False,"③ (만트럭) TGM 카고 등 11개 차종 643대는 방향지시등 작동 후 주간
주행등이 정상 작동되지 않는 안전기준 부적합으로 8월 11일부터 시정
조치에 들어간다."
2025-08-07,2500807석간 벤츠·현대 등 자발적 시정조치자동차정책과,르노,SM6,458,진공펌프* 제조 불량,,,False,"④ (르노) SM6 등 2개 차종 458대는 진공펌프* 제조 불량으로 인해 제동
거리가 길어질 가능성으로 8월 11일부터 시정조치에 들어간다.
* 작은 힘으로도 자동차를 제동할 수 있도록 도와주는 장치
□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터
(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서
차량번호 및 차대번호를 입력하고 확인할 수 있다.
- 1 -

담당 부서 모빌리티자동차국 책임자 과 장 박용선(044-201-3817)
자동차정책과 사무관 박정"
2025-09-10,2500910석간 현대·포드 등 자발적 시정조치자동차정책과,현대,팰리세이드,27656,,,,False,"① (현대) 팰리세이드 등 2개 차종 27,656대는 보닛 잠금장치 강건성 부족
으로 9월 16일부터 시정조치에 들어간다."
2025-09-10,2500910석간 현대·포드 등 자발적 시정조치자동차정책과,포드,익스플로러,5984,,,,False,"② (포드) 익스플로러 등 2개 차종 5,984대는 안전벨트 버클 고정 볼트 조립
불량으로 9월 5일부터 시정조치를 진행하고 있다."
