campaign,mfr_recall_no,population,component_name,component_desc,part_number,supplier_name,supplier_country,defect_cause,fmvss,remedy_type,corrected_in_production,chronology_attached,chronology_note,chronology_url,pdf_url,affected_models,supplier_canonical,supplier_group
19V594000,SC181,30168,,,,ZF TRW- Reynosa Operations,Mexico,"Kia Motors America (Kia) is recalling certain 2020 Telluride vehicles.  The seat belt assemblies in the front passenger, second, and/or third row seats may not tightly secure a child restraint system in the event of a crash.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection."" ",208,"Kia will notify owners, and dealers will inspect the vehicles and replace any incorrect seat belt assemblies.  The repair will also include replacing the driver's seat belt which has a non-U.S. specified label, with a U.S. specification seat belt.  The repairs will be performed free of charge.  The recall began August 30, 2019.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC181.    ","KMMG made process change to inspect all seat belt assemblies in vehicles produced after August 5, 2019.",True,See attached document titled “2020 Telluride Seatbelt Chronology”,,https://static.nhtsa.gov/odi/rcl/2019/RCLRPT-19V594-9790.PDF,TELLURIDE 2020,ZF TRW (Reynosa Operations),ZF
19V802000,186,11217,,,,JINHAP,"Korea, Republic of",Hyundai Motor America (Hyundai) is recalling certain 2020 Palisade vehicles.  The mounting bolts used to secure the side curtain air bags may damage the side curtain air bags during deployment. ,,"Hyundai will notify owners, and dealers will install a protective cover on the mounting bolts, free of charge.  The recall began December 20, 2019.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 186.","Bolts produced with rounded corners on the bolt head were used in vehicle production beginning July 2, 2019.",False,"On July 15, 2019, Hyundai Motor Company (“HMC”) discovered a torn Side Curtain Airbag (“SCAP”) during a New Car Assessment Program (“NCAP”) crash test conducted in Korea. HMC contacted the supplier of the SCAB and conducted a joint investigation into potential causes of the airbag damage. From Augus",,https://static.nhtsa.gov/odi/rcl/2019/RCLRPT-19V802-4806.PDF,PALISADE 2020,JINHAP,JINHAP
20V213000,191,11870,,,,MOBIS,"Korea, Republic of",Hyundai Motor America (Hyundai) is recalling certain 2020 Nexo and Sonata vehicles.  The Remote Smart Parking Assist (RSPA) software may fail to prevent vehicle movement upon detection of an RSPA system malfunction. ,,"Hyundai will notify owners, and dealers will reprogram the RSPA software, free of charge.  The recall began June 3, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 191.","The updated software was implemented in Nexo production on February 20, 2020 and Sonata production on March 06, 2020.",False,"In February 2020, an anomaly event that disabled operation of the “fail-safe” mode, which stops all vehicle movement upon detection of a system malfunction, was discovered by HMC during routine developmental testing of the RSPA feature. HMC quickly identified erroneous coding in the RPSA software as",,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V213-5106.PDF,NEXO 2020; SONATA 2020,Hyundai Mobis,Hyundai Mobis
20V436000,SC194,86921,Not Applicable,,,Not Applicable,NR,"Kia Motors America (Kia) is recalling certain 2020 Telluride vehicles equipped with Smart Cruise Control (SCC).  When a trailer is connected to the vehicle, the trailer brake lights will not illuminate when the SCC applies the brakes.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices, and Associated Equipment.""",108,"Kia will notify owners, and dealers will install an additional wire harness to the main fuse box to signal the trailer brake lights, free of charge.  The recall began September 10, 2020.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC194.",,True,See attached document titled “2020 Telluride Trailer Brake Lights Chronology”,,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V436-7707.PDF,TELLURIDE 2020,,
20V518000,SC196,28200,[[[ HECU ]]],[[[ Hydraulic Electric Control Unit ]]],58920-J5070,TBD,NR,"Kia Motors America (Kia) recalled certain 2019 Stinger vehicles equipped with 3.3L T-GDI engines on August 27, 2020.  On December 30, 2020, Kia expanded the recall population and added certain 2018-2021 Stinger vehicles.  While driving, an engine compartment fire may occur in the area where the Anti-lock Brake Hydraulic Electronic Control Unit (HECU) is located.",,"Kia will notify owners, and dealers will install a new fuse kit in the electrical junction box, free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 30, 2020.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC196.    ","TBD. However, there have been no similar fire incidents with the 2020MY Stinger.",True,See attached document titled “2019MY Stinger Engine Compartment Fire Chronology”,,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V518-1403.PDF,STINGER 2018; STINGER 2019; STINGER 2020; STINGER 2021,,
20V518000,SC196,28200,[[[ HECU ]]],[[[ Hydraulic Electric Control Unit ]]],58920-J5170,TBD,NR,"Kia Motors America (Kia) recalled certain 2019 Stinger vehicles equipped with 3.3L T-GDI engines on August 27, 2020.  On December 30, 2020, Kia expanded the recall population and added certain 2018-2021 Stinger vehicles.  While driving, an engine compartment fire may occur in the area where the Anti-lock Brake Hydraulic Electronic Control Unit (HECU) is located.",,"Kia will notify owners, and dealers will install a new fuse kit in the electrical junction box, free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 30, 2020.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC196.    ","TBD. However, there have been no similar fire incidents with the 2020MY Stinger.",True,See attached document titled “2019MY Stinger Engine Compartment Fire Chronology”,,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V518-1403.PDF,STINGER 2018; STINGER 2019; STINGER 2020; STINGER 2021,,
20V543000,195,652024,ABS Assembly,Hydraulic controller for the ABS,58920-D3530,Mando America Corp,United States,"Hyundai Motor America (Hyundai) recalled certain 2019-2021 Tucson vehicles on September 4, 2020.  On December 30, 2020, Hyundai expanded the recall population, and added certain 2016-2018 Tucson vehicles.  The Anti-lock Brake Hydraulic Electronic Control Unit (HECU) could corrode internally and cause an electrical short, possibly resulting in an engine compartment fire.",,"Hyundai will notify owners, and dealers will replace the HECU fuse.  For 2019-2021 model years, the Electronic Stability Control (ESC) software will also be updated.  Recall repairs will be performed free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 2, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 195.",Hyundai will conduct a detailed examination of recalled units retuned from the field and working with the supplier will obtain quality control and/or engineering differences in units for the 3 model years.,False,Please see Attachment A for the requested chronology.,,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V543-3344.PDF,TUCSON 2016; TUCSON 2017; TUCSON 2018; TUCSON 2019; TUCSON 2020; TUCSON 2021,Mando America Corp,HL Mando
20V630000,196,6707,High Voltage Battery System Assembly,,37501-K4000,MOBIS,NR,Hyundai Motor America (Hyundai) is recalling certain 2019-2020 Kona Electric vehicles.  The lithium-ion (Li-ion) battery may short-circuit.,,"Hyundai will notify owners, and dealers will update the Battery Management System (BMS) software and inspect the Li-ion battery, replacing it if necessary, free of charge.  Owners are advised to park their vehicles outside and away from structures until the repair is complete.  The recall began November 13, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 196.",NR,False,March 2019 – August 2019 HMC received three reports of Kona Electric vehicles catching fire while parked in the Korean market. All vehicles involved were reportedly parked with full state-of-charge in the vehicle’s Li-ion battery. HMC conducted a search globally and found two similar incidents in Ca,,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V630-7305.PDF,KONA ELECTRIC 2019; KONA ELECTRIC 2020,Hyundai Mobis,Hyundai Mobis
20V748000,199,8176,,,,Hyundai Motor Company,NR,"Hyundai Motor America (Hyundai) is recalling certain 2019-2020 Nexo Fuel Cell and 2019-2021 Kona Electric vehicles.  The Integrated Electronic Brake (IEB) system may detect an abnormal sensor signal and as a result, may significantly reduce braking performance.",,"Hyundai will notify owners, and dealers will update the IEB software, free of charge.  The recall began January 25, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 199.",The software update was introduced as a production running change in October 2020 for Nexo vehicles and November 2020 for Kona Electric vehicles.,False,September to October 2020 HMC investigated certain warranty claims alleging illumination of the MIL and/or reduced braking performance on vehicles sold in the Korean market. A suspected root cause could not be initially determined due to an inability to replicate the alleged condition. HMC began mon,,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V748-6218.PDF,KONA ELECTRIC 2019; KONA ELECTRIC 2020; KONA ELECTRIC 2021; NEXO 2019; NEXO 2020,Hyundai Motor Company,Hyundai Motor
21V127000,200,4696,Battery System Assembly,Lithium-ion electric battery,,LG Energy Solutions,"Korea, Republic of",Hyundai Motor America (Hyundai) is recalling certain 2019-2020 Kona Electric and 2020 Ioniq Electric vehicles.  The lithium-ion (Li-ion) battery may short-circuit.,,"Owners are advised to park their vehicles outside and away from structures until the interim action is complete.  Hyundai will notify owners, and as an interim action, owners have the option to follow provided instructions to perform a battery update through the vehicle's infotainment system or request a Hyundai dealer to provide the update.  Once parts are available, dealers will inspect the Battery System Assembly (BSA), and replace it if necessary.  Repairs will be performed free of charge.  Owners were notified of the safety risk, and the interim action, with a letter mailed April 9, 2021.  Final owner notification letters were mailed June 17, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 200.","The insulation coating was introduced into production on March 3, 2020.",False,Please see Attachment A for the requested chronology of events. Page 3,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V127-1095.PDF,IONIQ ELECTRIC 2020; KONA ELECTRIC 2019; KONA ELECTRIC 2020,LG Energy Solution,LG Energy Solution
