campaign,status,pdf_url,local_path
19V594000,already_exists,https://static.nhtsa.gov/odi/rcl/2019/RCLRPT-19V594-9790.PDF,C:\code\vehicle-defect-agent\docs\rcl573\19V594000.pdf
19V802000,ok,https://static.nhtsa.gov/odi/rcl/2019/RCLRPT-19V802-4806.PDF,C:\code\vehicle-defect-agent\docs\rcl573\19V802000.pdf
20V213000,ok,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V213-5106.PDF,C:\code\vehicle-defect-agent\docs\rcl573\20V213000.pdf
20V436000,ok,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V436-7707.PDF,C:\code\vehicle-defect-agent\docs\rcl573\20V436000.pdf
20V518000,ok,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V518-1403.PDF,C:\code\vehicle-defect-agent\docs\rcl573\20V518000.pdf
20V543000,ok,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V543-3344.PDF,C:\code\vehicle-defect-agent\docs\rcl573\20V543000.pdf
20V630000,ok,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V630-7305.PDF,C:\code\vehicle-defect-agent\docs\rcl573\20V630000.pdf
20V748000,ok,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V748-6218.PDF,C:\code\vehicle-defect-agent\docs\rcl573\20V748000.pdf
21V127000,ok,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V127-1095.PDF,C:\code\vehicle-defect-agent\docs\rcl573\21V127000.pdf
21V137000,ok,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V137-3072.PDF,C:\code\vehicle-defect-agent\docs\rcl573\21V137000.pdf
21V164000,ok,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V164-6064.PDF,C:\code\vehicle-defect-agent\docs\rcl573\21V164000.pdf
21V185000,ok,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V185-3469.PDF,C:\code\vehicle-defect-agent\docs\rcl573\21V185000.pdf
21V577000,ok,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V577-8390.PDF,C:\code\vehicle-defect-agent\docs\rcl573\21V577000.pdf
21V862000,ok,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V862-4387.PDF,C:\code\vehicle-defect-agent\docs\rcl573\21V862000.pdf
21V908000,ok,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V908-4735.PDF,C:\code\vehicle-defect-agent\docs\rcl573\21V908000.pdf
21V938000,ok,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V938-3905.PDF,C:\code\vehicle-defect-agent\docs\rcl573\21V938000.pdf
22V197000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V197-7398.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V197000.pdf
22V202000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V202-1357.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V202000.pdf
22V304000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V304-9025.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V304000.pdf
22V311000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V311-8104.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V311000.pdf
22V322000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V322-1584.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V322000.pdf
22V324000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V324-8424.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V324000.pdf
22V344000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V344-9484.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V344000.pdf
22V353000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V353-7007.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V353000.pdf
22V626000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V626-9236.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V626000.pdf
22V633000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V633-5086.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V633000.pdf
22V651000,no_url,,
