CAMPNO,MFGCAMPNO,MFGTXT,POTAFF,RCDATE,ODATE,COMPNAME,MFR_COMP_NAME,MFR_COMP_PTNO,MFR_COMP_DESC,FMVSS,RPNO,DESC_DEFECT,CONEQUENCE_DEFECT,CORRECTIVE_ACTION,NOTES,DO_NOT_DRIVE,PARK_OUTSIDE,affected_models
19V594000,SC181,"Kia America, Inc.",30168,20190813,20190830,SEAT BELTS:REAR/OTHER,,,,208,,"Kia Motors America (Kia) is recalling certain 2020 Telluride vehicles.  The seat belt assemblies in the front passenger, second, and/or third row seats may not tightly secure a child restraint system in the event of a crash.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection."" ","If a child seat is not properly secured, there is an increased risk of injury to the occupant in a crash.","Kia will notify owners, and dealers will inspect the vehicles and replace any incorrect seat belt assemblies.  The repair will also include replacing the driver's seat belt which has a non-U.S. specified label, with a U.S. specification seat belt.  The repairs will be performed free of charge.  The recall began August 30, 2019.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC181.    ","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,TELLURIDE 2020
19V802000,186,Hyundai Motor America,11217,20191107,20191220,AIR BAGS:SIDE/WINDOW,,,,,,Hyundai Motor America (Hyundai) is recalling certain 2020 Palisade vehicles.  The mounting bolts used to secure the side curtain air bags may damage the side curtain air bags during deployment. ,"Damaged side curtain air bags may not inflate properly in the event of a crash, increasing the risk of injury.","Hyundai will notify owners, and dealers will install a protective cover on the mounting bolts, free of charge.  The recall began December 20, 2019.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 186.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,PALISADE 2020
20V213000,191,Hyundai Motor America,11870,20200409,20200603,ELECTRICAL SYSTEM:SOFTWARE,,,,,,Hyundai Motor America (Hyundai) is recalling certain 2020 Nexo and Sonata vehicles.  The Remote Smart Parking Assist (RSPA) software may fail to prevent vehicle movement upon detection of an RSPA system malfunction. ,Unintended vehicle movement increases the risk of a crash. ,"Hyundai will notify owners, and dealers will reprogram the RSPA software, free of charge.  The recall began June 3, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 191.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",No,No,NEXO 2020; SONATA 2020
20V436000,SC194,"Kia America, Inc.",86921,20200728,20200910,FORWARD COLLISION AVOIDANCE: ADAPTIVE CRUISE CONTROL,Not Applicable,,,108,,"Kia Motors America (Kia) is recalling certain 2020 Telluride vehicles equipped with Smart Cruise Control (SCC).  When a trailer is connected to the vehicle, the trailer brake lights will not illuminate when the SCC applies the brakes.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Inoperative trailer brake lights can fail to warn other drivers that the vehicle is slowing, increasing the risk of a crash.","Kia will notify owners, and dealers will install an additional wire harness to the main fuse box to signal the trailer brake lights, free of charge.  The recall began September 10, 2020.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC194.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ",No,No,TELLURIDE 2020
20V518000,SC196,"Kia America, Inc.",28200,20200827,20201130,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE ",[[[ HECU ]]],[[[ 58920-J5070 & 58920-J5170 ]]],[[[ Hydraulic Electric Control Unit ]]],,,"Kia Motors America (Kia) recalled certain 2019 Stinger vehicles equipped with 3.3L T-GDI engines on August 27, 2020.  On December 30, 2020, Kia expanded the recall population and added certain 2018-2021 Stinger vehicles.  While driving, an engine compartment fire may occur in the area where the Anti-lock Brake Hydraulic Electronic Control Unit (HECU) is located.",An engine compartment fire can increase the risk of injury or crash.,"Kia will notify owners, and dealers will install a new fuse kit in the electrical junction box, free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 30, 2020.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC196.    ","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ",No,Yes,STINGER 2018; STINGER 2019; STINGER 2020; STINGER 2021
20V543000,195,Hyundai Motor America,652024,20200904,20201102,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE ",ABS Assembly,58920-D3530,Hydraulic controller for the ABS,,,"Hyundai Motor America (Hyundai) recalled certain 2019-2021 Tucson vehicles on September 4, 2020.  On December 30, 2020, Hyundai expanded the recall population, and added certain 2016-2018 Tucson vehicles.  The Anti-lock Brake Hydraulic Electronic Control Unit (HECU) could corrode internally and cause an electrical short, possibly resulting in an engine compartment fire.",An engine compartment fire can increase the risk of injury or crash.,"Hyundai will notify owners, and dealers will replace the HECU fuse.  For 2019-2021 model years, the Electronic Stability Control (ESC) software will also be updated.  Recall repairs will be performed free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 2, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 195.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ",No,Yes,TUCSON 2016; TUCSON 2017; TUCSON 2018; TUCSON 2019; TUCSON 2020; TUCSON 2021
20V630000,196,Hyundai Motor America,6707,20201013,20201113,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY:MANAGEMENT SYSTEM/ENERGY CONTROL MODULE (BMS/BECM):SOFTWARE,High Voltage Battery System Assembly,37501-K4000,,,,Hyundai Motor America (Hyundai) is recalling certain 2019-2020 Kona Electric vehicles.  The lithium-ion (Li-ion) battery may short-circuit.,An electrical short in the Li-ion battery increases the risk of a fire.,"Hyundai will notify owners, and dealers will update the Battery Management System (BMS) software and inspect the Li-ion battery, replacing it if necessary, free of charge.  Owners are advised to park their vehicles outside and away from structures until the repair is complete.  The recall began November 13, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 196.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ",No,Yes,KONA ELECTRIC 2019; KONA ELECTRIC 2020
20V748000,199,Hyundai Motor America,8176,20201201,20210125,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:ELECTRIC:CONTROL MODULE:SOFTWARE",,,,,,"Hyundai Motor America (Hyundai) is recalling certain 2019-2020 Nexo Fuel Cell and 2019-2021 Kona Electric vehicles.  The Integrated Electronic Brake (IEB) system may detect an abnormal sensor signal and as a result, may significantly reduce braking performance.","Reduced braking power could lengthen the distance required to stop the vehicle, increasing the risk of a crash.","Hyundai will notify owners, and dealers will update the IEB software, free of charge.  The recall began January 25, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 199.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ",No,No,KONA ELECTRIC 2019; KONA ELECTRIC 2020; KONA ELECTRIC 2021; NEXO 2019; NEXO 2020
21V127000,200,Hyundai Motor America,4696,20210301,20210617,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY,Battery System Assembly,,Lithium-ion electric battery,,,Hyundai Motor America (Hyundai) is recalling certain 2019-2020 Kona Electric and 2020 Ioniq Electric vehicles.  The lithium-ion (Li-ion) battery may short-circuit.,An electrical short in the Li-ion battery increases the risk of a fire.,"Owners are advised to park their vehicles outside and away from structures until the interim action is complete.  Hyundai will notify owners, and as an interim action, owners have the option to follow provided instructions to perform a battery update through the vehicle's infotainment system or request a Hyundai dealer to provide the update.  Once parts are available, dealers will inspect the Battery System Assembly (BSA), and replace it if necessary.  Repairs will be performed free of charge.  Owners were notified of the safety risk, and the interim action, with a letter mailed April 9, 2021.  Final owner notification letters were mailed June 17, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 200.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ",No,Yes,IONIQ ELECTRIC 2020; KONA ELECTRIC 2019; KONA ELECTRIC 2020
21V137000,SC206,"Kia America, Inc.",379931,20210304,20210430,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE ",HECU,Sportage HECU: 58920-D9100 / Cadenza HECU: 58920-F6210,Hydraulic Electronic Control Unit,,,"Kia Motors America (Kia) is recalling certain 2017-2021 Sportage and Cadenza vehicles.  The electrical circuit in the Hydraulic Electronic Control Unit (HECU) may short-circuit, which can cause a fire in the engine compartment.  ",An engine compartment fire can increase the risk of injury.,"Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  Kia will notify owners, and dealers will replace certain fuses in the electrical junction box.  Vehicles equipped with an electronic parking brake (EPB) will also receive a HECU software update.  Repairs will be performed free of charge.  The recall began on April 30, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC206.     ","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ",No,Yes,CADENZA 2017; CADENZA 2018; CADENZA 2019; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021
