campaign,pdf_url,found
19V594000,https://static.nhtsa.gov/odi/rcl/2019/RCLRPT-19V594-9790.PDF,true
19V802000,https://static.nhtsa.gov/odi/rcl/2019/RCLRPT-19V802-4806.PDF,true
20V213000,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V213-5106.PDF,true
20V436000,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V436-7707.PDF,true
20V518000,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V518-1403.PDF,true
20V543000,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V543-3344.PDF,true
20V630000,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V630-7305.PDF,true
20V748000,https://static.nhtsa.gov/odi/rcl/2020/RCLRPT-20V748-6218.PDF,true
21V127000,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V127-1095.PDF,true
21V137000,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V137-3072.PDF,true
21V164000,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V164-6064.PDF,true
21V185000,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V185-3469.PDF,true
21V577000,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V577-8390.PDF,true
21V862000,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V862-4387.PDF,true
21V908000,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V908-4735.PDF,true
21V938000,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V938-3905.PDF,true
22V197000,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V197-7398.PDF,true
22V202000,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V202-1357.PDF,true
22V304000,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V304-9025.PDF,true
22V311000,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V311-8104.PDF,true
22V322000,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V322-1584.PDF,true
22V324000,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V324-8424.PDF,true
22V344000,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V344-9484.PDF,true
