cmplid,sample_group,compdesc1,instability_score,tier,severity,driving_context,insufficient_info,evidence_overlap_iou,symptom_overlap_jaccard
2091541,A_multi_cmplid,FORWARD COLLISION AVOIDANCE,3,불안정,MINOR/SERIOUS/SERIOUS,불명/주행 중/주행 중,True/False/False,0.0,0.072
1820082,B_unknown_with_sibling,UNKNOWN OR OTHER,3,불안정,CRITICAL/CRITICAL/MINOR,정차·주차 중/정차·주차 중/불명,False/False/True,0.426,0.182
2198783,A_multi_cmplid,ELECTRICAL SYSTEM,3,불안정,MINOR/CRITICAL/CRITICAL,불명/정차·주차 중/정차·주차 중,True/False/False,0.533,0.111
1824170,B_unknown_with_sibling,UNKNOWN OR OTHER,3,불안정,MINOR/MINOR/SERIOUS,불명/불명/정차·주차 중,True/True/False,,0.333
1859970,A_multi_cmplid,FORWARD COLLISION AVOIDANCE,3,불안정,MINOR/SERIOUS/SERIOUS,불명/주행 중/주행 중,True/False/False,1.0,0.229
2195083,RANDOM,UNKNOWN OR OTHER,3,불안정,CRITICAL/MINOR/MINOR,정차·주차 중/불명/불명,False/True/True,,0.333
2205835,RANDOM,ELECTRICAL SYSTEM,3,불안정,CRITICAL/CRITICAL/MINOR,주행 중/주행 중/불명,False/False/True,1.0,0.241
1862545,A_multi_cmplid,ELECTRICAL SYSTEM,2,불안정,SERIOUS/CRITICAL/SERIOUS,시동 시/주행 중/주행 중,False/False/False,0.333,0.47
2039389,RANDOM,ELECTRICAL SYSTEM,2,불안정,MODERATE/CRITICAL/CRITICAL,정차·주차 중/주행 중/주행 중,False/False/False,0.333,0.515
2098867,RANDOM,BACK OVER PREVENTION,2,불안정,SERIOUS/SERIOUS/MINOR,불명/불명/불명,False/False/True,1.0,0.222
2172372,RANDOM,ELECTRICAL SYSTEM,1,부분 흔들림,CRITICAL/SERIOUS/SERIOUS,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,0.161,0.751
1901712,A_multi_cmplid,VEHICLE SPEED CONTROL,1,부분 흔들림,CRITICAL/SERIOUS/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.333,0.556
2160929,RANDOM,FORWARD COLLISION AVOIDANCE,1,부분 흔들림,CRITICAL/SERIOUS/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.333,0.574
2220261,B_unknown_with_sibling,UNKNOWN OR OTHER,1,부분 흔들림,MODERATE/MINOR/MINOR,불명/불명/불명,False/False/False,0.395,0.185
1967888,RANDOM,UNKNOWN OR OTHER,1,부분 흔들림,CRITICAL/CRITICAL/CRITICAL,불명/불명/주행 중,False/False/False,0.819,0.567
1975226,RANDOM,ELECTRICAL SYSTEM,1,부분 흔들림,SERIOUS/SERIOUS/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,0.824,0.833
1791071,RANDOM,FORWARD COLLISION AVOIDANCE,1,부분 흔들림,CRITICAL/SERIOUS/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.44
1797790,C_unknown_no_sibling,UNKNOWN OR OTHER,1,부분 흔들림,SERIOUS/MODERATE/MODERATE,불명/불명/불명,False/False/False,1.0,0.633
1821108,RANDOM,VEHICLE SPEED CONTROL,1,부분 흔들림,CRITICAL/CRITICAL/CRITICAL,주행 중/정차·주차 중/정차·주차 중,False/False/False,1.0,0.241
1857002,C_unknown_no_sibling,UNKNOWN OR OTHER,1,부분 흔들림,SERIOUS/MODERATE/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.491
1859987,RANDOM,FORWARD COLLISION AVOIDANCE,1,부분 흔들림,CRITICAL/SERIOUS/SERIOUS,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,1.0,0.381
1862546,A_multi_cmplid,FORWARD COLLISION AVOIDANCE,1,부분 흔들림,CRITICAL/CRITICAL/CRITICAL,주행 중/불명/불명,False/False/False,1.0,0.6
1899670,A_multi_cmplid,FORWARD COLLISION AVOIDANCE,1,부분 흔들림,CRITICAL/SERIOUS/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.334
1966210,C_unknown_no_sibling,UNKNOWN OR OTHER,1,부분 흔들림,MODERATE/SERIOUS/SERIOUS,불명/불명/불명,False/False/False,1.0,1.0
2136061,RANDOM,UNKNOWN OR OTHER,1,부분 흔들림,SERIOUS/CRITICAL/CRITICAL,불명/불명/불명,False/False/False,1.0,0.917
2155522,C_unknown_no_sibling,UNKNOWN OR OTHER,1,부분 흔들림,CRITICAL/CRITICAL/CRITICAL,불명/불명/주행 중,False/False/False,1.0,0.608
1843079,A_multi_cmplid,FORWARD COLLISION AVOIDANCE,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.216,0.282
1822562,B_unknown_with_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,시동 시/시동 시/시동 시,False/False/False,0.276,0.441
1796890,RANDOM,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,0.293,0.523
1842657,C_unknown_no_sibling,UNKNOWN OR OTHER,0,안정,SERIOUS/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,0.333,0.795
1843077,A_multi_cmplid,VEHICLE SPEED CONTROL,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.333,0.49
1859969,A_multi_cmplid,LANE DEPARTURE,0,안정,SERIOUS/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,0.333,0.366
1899668,A_multi_cmplid,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.333,0.455
1899669,A_multi_cmplid,VEHICLE SPEED CONTROL,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.333,0.403
