supplier_name,count,example_campaign
Aptiv,1,25V649000
Borgwarner,2,24V308000
"Continental Automotive Electronics, LLC",6,21V862000
CURT Manufacturing/LIPPERT,1,25V893000
Daedong Door Co. (Songdo Plant),1,21V908000
HL Mando,1,24V693000
Hyundai KEFICO Corp,1,22V324000
Hyundai KEFICO Corp.,1,22V322000
Hyundai Mobis,22,22V353000
Hyundai MOBIS,6,24V583000
HYUNDAI MOBIS,8,26V047000
Hyundai Mobis Company (Jincheon Plant),5,21V577000
Hyundai Motor Company,1,20V748000
Hyundai Motor Manufacturing Alabama,1,25V659000
"IEE, S.A.",4,21V164000
IL HEUNG,1,24V843000
JINHAP,1,19V802000
"JOYSON SAFETY SYSTEMS KOREA CO., LTD.",1,26V169000
KET,1,24V358000
Kia Mexico,1,22V304000
Kia Motor Mexico,1,22V311000
Korea Flange CO. LTD,1,22V197000
"Korea Flange Co., Ltd",1,22V202000
Kyungshin,3,21V938000
Kyungshin America Corp.,3,25V064000
LG Energy Solutions,1,21V127000
"LS Automotive Technologies Co.,Ltd.",1,25V606000
Mando America Corp,1,20V543000
Mando Pyeongtaek Plant,1,21V137000
MNEX,1,25V291000
MOBIS,18,20V213000
MOBIS Corporation,6,24V204000
Mobis N. America Electrified Powertrain,1,25V115000
"Mobis North America Electrified (""MNAe"")",3,26V068000
Mobis North America Electrified Powertra,1,25V482000
Mobis Parts America,10,22V626000
Myunghwa,5,23V526000
Not Applicable,1,20V436000
SAMBO MOTORS,1,24V169000
SEGI Korea,6,22V633000
Seoyon E-Hwa Alabama,1,25V808000
SEOYON E-HWA AUBURN,1,24V877000
TBD,1,20V518000
Transys Korea,2,24V529000
TYW,8,23V298000
Yura Corporation,1,23V901000
ZF TRW- Reynosa Operations,1,19V594000
