Manufacturer,NHTSACampaignNumber,parkIt,parkOutSide,overTheAirUpdate,NHTSAActionNumber,ReportReceivedDate,Component,Summary,Consequence,Remedy,Notes,ModelYear,Make,Model,_query_make,_query_model,_query_year,report_date_iso
Kia Motors America,19V594000,False,False,False,,13/08/2019,SEAT BELTS:REAR/OTHER,"Kia Motors America (Kia) is recalling certain 2020 Telluride vehicles.  The seat belt assemblies in the front passenger, second, and/or third row seats may not tightly secure a child restraint system in the event of a crash.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""","If a child seat is not properly secured, there is an increased risk of injury to the occupant in a crash.","Kia will notify owners, and dealers will inspect the vehicles and replace any incorrect seat belt assemblies.  The repair will also include replacing the driver's seat belt which has a non-U.S. specified label, with a U.S. specification seat belt.  The repairs will be performed free of charge.  The recall began August 30, 2019.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC181.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2020,KIA,TELLURIDE,KIA,TELLURIDE,2020,2019-08-13
Hyundai Motor America,19V802000,False,False,False,,07/11/2019,AIR BAGS:SIDE/WINDOW,Hyundai Motor America (Hyundai) is recalling certain 2020 Palisade vehicles.  The mounting bolts used to secure the side curtain air bags may damage the side curtain air bags during deployment.,"Damaged side curtain air bags may not inflate properly in the event of a crash, increasing the risk of injury.","Hyundai will notify owners, and dealers will install a protective cover on the mounting bolts, free of charge.  The recall began December 20, 2019.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 186.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2020,HYUNDAI,PALISADE,HYUNDAI,PALISADE,2020,2019-11-07
Hyundai Motor America,20V213000,False,False,False,,09/04/2020,ELECTRICAL SYSTEM:SOFTWARE,Hyundai Motor America (Hyundai) is recalling certain 2020 Nexo and Sonata vehicles.  The Remote Smart Parking Assist (RSPA) software may fail to prevent vehicle movement upon detection of an RSPA system malfunction.,Unintended vehicle movement increases the risk of a crash.,"Hyundai will notify owners, and dealers will reprogram the RSPA software, free of charge.  The recall began June 3, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 191.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2020,HYUNDAI,SONATA,HYUNDAI,SONATA,2020,2020-04-09
Kia Motors America,20V436000,False,False,False,,28/07/2020,ELECTRICAL SYSTEM:WIRING,"Kia Motors America (Kia) is recalling certain 2020 Telluride vehicles equipped with Smart Cruise Control (SCC).  When a trailer is connected to the vehicle, the trailer brake lights will not illuminate when the SCC applies the brakes.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Inoperative trailer brake lights can fail to warn other drivers that the vehicle is slowing, increasing the risk of a crash.","Kia will notify owners, and dealers will install an additional wire harness to the main fuse box to signal the trailer brake lights, free of charge.  The recall began September 10, 2020.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC194.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2020,KIA,TELLURIDE,KIA,TELLURIDE,2020,2020-07-28
Kia Motors America,20V518000,False,True,False,PE19004,27/08/2020,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE","Kia Motors America (Kia) recalled certain 2019 Stinger vehicles equipped with 3.3L T-GDI engines on August 27, 2020.  On December 30, 2020, Kia expanded the recall population and added certain 2018-2021 Stinger vehicles.  While driving, an engine compartment fire may occur in the area where the Anti-lock Brake Hydraulic Electronic Control Unit (HECU) is located.",An engine compartment fire can increase the risk of injury or crash.,"Kia will notify owners, and dealers will install a new fuse kit in the electrical junction box, free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 30, 2020.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC196.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2021,KIA,STINGER,KIA,STINGER,2021,2020-08-27
Hyundai Motor America,20V543000,False,True,False,PE19003,04/09/2020,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE","Hyundai Motor America (Hyundai) recalled certain 2019-2021 Tucson vehicles on September 4, 2020.  On December 30, 2020, Hyundai expanded the recall population, and added certain 2016-2018 Tucson vehicles.  The Anti-lock Brake Hydraulic Electronic Control Unit (HECU) could corrode internally and cause an electrical short, possibly resulting in an engine compartment fire.",An engine compartment fire can increase the risk of injury or crash.,"Hyundai will notify owners, and dealers will replace the HECU fuse.  For 2019-2021 model years, the Electronic Stability Control (ESC) software will also be updated.  Recall repairs will be performed free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 2, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 195.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2020,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2020,2020-09-04
Hyundai Motor America,20V630000,False,True,False,,13/10/2020,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY:MANAGEMENT SYSTEM/ENERGY CONTROL MODULE (BMS/BECM):SOFTWARE,Hyundai Motor America (Hyundai) is recalling certain 2019-2020 Kona Electric vehicles.  The lithium-ion (Li-ion) battery may short-circuit.,An electrical short in the Li-ion battery increases the risk of a fire.,"Hyundai will notify owners, and dealers will update the Battery Management System (BMS) software and inspect the Li-ion battery, replacing it if necessary, free of charge.  Owners are advised to park their vehicles outside and away from structures until the repair is complete.  The recall began November 13, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 196.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2020,HYUNDAI,KONA ELECTRIC,HYUNDAI,KONA ELECTRIC,2020,2020-10-13
Hyundai Motor America,20V748000,False,False,False,,01/12/2020,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:ELECTRIC:CONTROL MODULE:SOFTWARE","Hyundai Motor America (Hyundai) is recalling certain 2019-2020 Nexo Fuel Cell and 2019-2021 Kona Electric vehicles.  The Integrated Electronic Brake (IEB) system may detect an abnormal sensor signal and as a result, may significantly reduce braking performance.","Reduced braking power could lengthen the distance required to stop the vehicle, increasing the risk of a crash.","Hyundai will notify owners, and dealers will update the IEB software, free of charge.  The recall began January 25, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 199.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2020,HYUNDAI,NEXO,HYUNDAI,NEXO,2020,2020-12-01
Hyundai Motor America,21V127000,False,True,False,,01/03/2021,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY,Hyundai Motor America (Hyundai) is recalling certain 2019-2020 Kona Electric and 2020 Ioniq Electric vehicles.  The lithium-ion (Li-ion) battery may short-circuit.,An electrical short in the Li-ion battery increases the risk of a fire.,"Owners are advised to park their vehicles outside and away from structures until the interim action is complete.  Hyundai will notify owners, and as an interim action, owners have the option to follow provided instructions to perform a battery update through the vehicle's infotainment system or request a Hyundai dealer to provide the update.  Once parts are available, dealers will inspect the Battery System Assembly (BSA), and replace it if necessary.  Repairs will be performed free of charge.  Owners were notified of the safety risk, and the interim action, with a letter mailed April 9, 2021.  Final owner notification letters were mailed June 17, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 200.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2020,HYUNDAI,KONA ELECTRIC,HYUNDAI,KONA ELECTRIC,2020,2021-03-01
Kia Motors America,21V137000,False,True,False,,04/03/2021,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE","Kia Motors America (Kia) is recalling certain 2017-2021 Sportage and Cadenza vehicles.  The electrical circuit in the Hydraulic Electronic Control Unit (HECU) may short-circuit, which can cause a fire in the engine compartment.",An engine compartment fire can increase the risk of injury.,"Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  Kia will notify owners, and dealers will replace certain fuses in the electrical junction box.  Vehicles equipped with an electronic parking brake (EPB) will also receive a HECU software update.  Repairs will be performed free of charge.  The recall began on April 30, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC206.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2021,KIA,SPORTAGE,KIA,SPORTAGE,2021,2021-03-04
Kia Motors America,21V164000,False,False,False,,11/03/2021,AIR BAGS: AIR BAG/RESTRAINT CONTROL MODULE,"Kia Motors America (Kia) is recalling certain 2021 Telluride, K5, and Forte vehicles. The Occupant Classification and Detection System (OCS/ODS) unit may not detect the presence of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""","In the event of a crash, deployment of the front passenger air bag, with a child in that seat, can increase the risk of injury to the child.","Kia will notify owners, and dealers will replace the OCS/ODS unit, free of charge.  The recall began March 18, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC207.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2021,KIA,K5,KIA,K5,2021,2021-03-11
Hyundai Motor America,21V185000,False,False,False,,17/03/2021,AIR BAGS: AIR BAG/RESTRAINT CONTROL MODULE,"Hyundai Motor America (Hyundai) is recalling certain 2021 Santa Fe vehicles.  The Occupant Detection System (ODS) module may not deactivate the air bag upon detection of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""","In the event of a crash, deployment of the front passenger air bag, with a child in that seat, can increase the risk of injury to the child.","Hyundai will notify owners, and dealers will replace the ODS module, free of charge.  All affected vehicles have been remedied as of May 12, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 202.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2021,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2021,2021-03-17
Kia Motors America,21V577000,False,False,False,,28/07/2021,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,"Kia Motors America (Kia) is recalling certain 2022 Telluride vehicles.  The LCD display screen may remain blank after startup.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 101, ""Control and Displays.""","A blank LCD display may be missing information, such as the digital speedometer, gear selection indicator, and odometer, which may increase the risk of a crash.","Dealers will update the instrument cluster's software, free of charge.  Owner notification letters were mailed August 3, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC215.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,KIA,TELLURIDE,KIA,TELLURIDE,2022,2021-07-28
Kia Motors America,21V862000,False,False,False,,05/11/2021,ELECTRICAL SYSTEM:INSTRUMENT PANEL:FUEL GAUGE,Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,"An inaccurate fuel gauge may result in the vehicle unexpectedly running out of fuel and stalling, increasing the risk of a crash.","Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2020,KIA,STINGER,KIA,STINGER,2020,2021-11-05
Kia Motors America,21V908000,False,False,False,,19/11/2021,LATCHES/LOCKS/LINKAGES:ELECTRONIC LOCK/LATCH ACTUATOR,"Kia Motors America (Kia) is recalling certain 2022 Carnival vehicles.  The remote controller assembly for the passenger-side power sliding door may malfunction, preventing the passenger-side sliding door from securely latching.","A power sliding door that fails to latch may open while moving, increasing the risk of injury.","Dealers will replace the passenger-side power sliding door release actuator's drum and holder inside the remote controller assembly, free of charge.  Owner notification letters were mailed December 16, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC221.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,KIA,CARNIVAL,KIA,CARNIVAL,2022,2021-11-19
Hyundai Motor America,21V938000,False,False,False,,02/12/2021,ELECTRICAL SYSTEM:SOFTWARE,"Hyundai Motor America (Hyundai) is recalling certain 2022 Tucson vehicles.  The software installed in the Integrated Central Control Unit (ICU) may be incompatible with the vehicle, which could result in inoperative headlights and/or taillights.","Inoperative headlights or taillights can decrease visibility for both the driver and surrounding traffic, increasing the risk of a crash.","Dealers updated the ICU software, free of charge.  All affected vehicles have been repaired and therefore no owner notification letters will be mailed.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 214.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2022,2021-12-02
Hyundai Motor America,22V197000,False,False,False,,28/03/2022,ENGINE AND ENGINE COOLING:ENGINE:GASOLINE:TURBO/SUPERCHARGER,"Hyundai Motor America (Hyundai) is recalling certain 2022 Santa Fe and Santa Cruz vehicles.  The oil supply pipe to the turbocharger may crack, which could result in an oil leak in the engine compartment.","An oil leak in the presence of an ignition source such as hot engine or exhaust components, can increase the risk of a fire.","Dealers will replace the turbocharger oil supply pipe, free of charge.  Owner notification letters were mailed May 26, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall 222.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,HYUNDAI,SANTA CRUZ,HYUNDAI,SANTA CRUZ,2022,2022-03-28
Kia Motors America,22V202000,False,False,False,,29/03/2022,ENGINE AND ENGINE COOLING:ENGINE:GASOLINE:TURBO/SUPERCHARGER,"Kia Motor America (Kia) is recalling certain 2022 Sorento vehicles.  The oil supply pipe to the turbocharger may crack, which could result in an oil leak in the engine compartment.","An oil leak in the presence of an ignition source such as hot engine or exhaust components, can increase the risk of a fire.","Dealers will replace the turbocharger oil supply pipe, free of charge.  Owner notification letters were mailed April 22, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC233.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,KIA,SORENTO,KIA,SORENTO,2022,2022-03-29
Kia Motors America,22V304000,False,False,False,,05/05/2022,STEERING:COLUMN,"Kia Motors America (Kia) is recalling certain 2021-2022 Rio and Forte vehicles.  A bolt in the steering column may not be secured properly, which can cause the steering column to detach from the steering rack and result in a loss of steering control.",Loss of steering control can increase the risk of a crash.,"Dealers will tighten the lower steering column u-joint retention bolt, free of charge.  Owner notification letters were mailed May 27, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall SC235.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,KIA,RIO,KIA,RIO,2022,2022-05-05
