ODINO,CDESCR
11581731,"The contact owns a 2015 Hyundai Genesis. The contact received notification of NHTSA Campaign Number: 24V107000 (Electrical System) however, the part to do the recall repair was not yet available. The local dealer was contacted, and it was confirmed that the part was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The manufacturer was made aware of the issue. The contact had not experienced a failure. VIN tool confirms parts not available."
11581754,"My 2016 Hyundai Genesis has several open recalls. I cannot get a dealership to help me get these issues resolved. One recall in particular Hyundai recall number 254 is causing major safety issues. My car does not start 90% of the time without being jumped and now the car will die out while driving. It has caused me to almost wreck several times. I have called all of the local Hyundai dealerships none of which say they can get me in for weeks and that there is no fix for my problem. If I do get to someone to book an appointment, when they hear the problem they put me on permahold and then the line disconnects! This is a major safety issue and needs to be fixed by Hyundai immediately."
11581934,"The contact owns a 2012 Hyundai Genesis. The contact stated while driving at approximately 35 MPH, the vehicle lost motive power, shut off but was able to coast off the highway. There were no warning lights illuminated. The vehicle was towed to the local dealer, where it was diagnosed that the electronic computer motherboard needed to be replaced. The vehicle was not repaired due to parts being on backorder. The manufacturer was contacted, but no assistance was provided. The failure mileage was approximately 62,000."
11582065,"The contact owns a 2015 Hyundai Genesis. The contact received notification of NHTSA Campaign Number: 24V107000 (Electrical System) however, the part to do the recall repair was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The dealer was contacted and confirmed that parts were not yet available. The manufacturer was not made aware of the issue. The contact had not experienced a failure. VIN tool confirms parts not available."
11583138,"The contact owns a 2015 Hyundai Genesis. The contact received notification of NHTSA Campaign Number: 24V107000 (Electrical System) however, the part to do the recall repair was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The dealer was made aware of the issue and confirmed that parts were not yet available. The vehicle was not repaired. The manufacturer was made aware of the issue. The contact had not experienced a failure. VIN tool confirms parts not available."
11583252,"The contact owns a 2015 Hyundai Genesis. The contact received notification of NHTSA Campaign Number: 24V107000 (Electrical System) however, the part to do the recall repair was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The dealer was made aware of the issue and confirmed that parts were not yet available. The manufacturer was not made aware of the issue. The contact had not experienced a failure. VIN tool confirms parts not available.  "
11583308,"The contact owns a 2015 Hyundai Genesis. The contact received notification of NHTSA Campaign Number: 24V107000 (Electrical System) however, the part to do the recall repair was not yet available. The local dealer was contacted. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The manufacturer was not made aware of the issue. The contact had not experienced a failure. VIN tool confirms parts not available."
11583678,"The contact owns a 2015 Hyundai Genesis. The contact received notification of NHTSA Campaign Number: 24V107000 (Electrical System) however, the part to do the recall repair was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The contact stated that while starting the vehicle the vehicle hesitated. The contact stated after a short wait the vehicle started normally and functioned as needed. The dealer was made aware of the failure but confirmed that parts were not yet available. The vehicle was not repaired. The manufacturer was made aware of the failure. The failure mileage was approximately 154,000. VIN tool confirms parts not available."
11583814,"The contact owns a 2016 Hyundai Genesis. The contact stated while driving approximately 60 MPH, the electrical power inside the vehicle became inoperable, and the vehicle lost power for approximately 10 seconds before the cabin lights returned to normal functionality. The vehicle was taken to the residence. The vehicle was taken to a dealer, but the vehicle could not be repaired. The contact stated that on another occasion while attempting to start the vehicle, the vehicle failed to start for 10 minutes. The vehicle was taken to a dealer where it was diagnosed that the fuel pump needed to be replaced. The manufacturer was notified of the failure and a complaint was filed. The failure mileage was unknown."
11583832,"The contact owns a 2015 Hyundai Genesis. The contact received notification of NHTSA Campaign Number: 24V107000 (Electrical System); however, the part to do the recall repair was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The dealer was made aware of the issue and confirmed that parts were not yet available. The manufacturer was made aware of the issue and confirmed that parts were not yet available. The contact had not experienced a failure. VIN tool confirms parts not available."
