CMPLID,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWNER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRANS_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,DEALER_NAME,DEALER_TEL,DEALER_CITY,DEALER_STATE,DEALER_ZIP,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN,UNKNOWN_50,UNKNOWN_51,sample_group
1843077,11486092,"Kia America, Inc.",KIA,OPTIMA,2017,N,20220923,N,0,0,VEHICLE SPEED CONTROL,Savannah ,GA,5XXGW4L23HG,20220923,20220923,,,"I was driving with an SUV in front of me at 18-wheeler in front of them. This is on a road where the speed limit is 65 however there's a section on 301 where there's a traffic light. All three vehicles came to a slow normal stop  and the adaptive cruise control was doing a good job of slowing the vehicle down without my input. But the SUV when we were at about stopping speed but had not yet come to a complete stop, the SUV switched to the left lane. At which point I was maybe 20 ft behind the 18-wheeler and all of a sudden the car is adaptive cruise control tried to accelerate the car back up to the setting of 65. It didn't register the 18-wheeler at all It just registered that the car in front of me had cleared the space and if I had not been paying attention and immediately applied the brakes to stop the car manually It absolutely would have accelerated directly into the back of the 18-wheeler. I was maybe 5 ft and it was still accelerating when I slammed on the brakes. I've been able to since reproduce the effects, it doesn't register 18 wheelers correctly in this specific situation as vehicles. I've even had the camera recalibrated in between tests.   I have everything on video but unfortunately do not have access to the car's computer logs. I would be willing to send in my ECU for whatever is needed to identify this further.",IVOQ,N,,N,N,N,,,,,,65,,,,,,,,,,,,,,V,,N,N,,,A_multi_cmplid
1843078,11486092,"Kia America, Inc.",KIA,OPTIMA,2017,N,20220923,N,0,0,UNKNOWN OR OTHER,Savannah ,GA,5XXGW4L23HG,20220923,20220923,,,"I was driving with an SUV in front of me at 18-wheeler in front of them. This is on a road where the speed limit is 65 however there's a section on 301 where there's a traffic light. All three vehicles came to a slow normal stop  and the adaptive cruise control was doing a good job of slowing the vehicle down without my input. But the SUV when we were at about stopping speed but had not yet come to a complete stop, the SUV switched to the left lane. At which point I was maybe 20 ft behind the 18-wheeler and all of a sudden the car is adaptive cruise control tried to accelerate the car back up to the setting of 65. It didn't register the 18-wheeler at all It just registered that the car in front of me had cleared the space and if I had not been paying attention and immediately applied the brakes to stop the car manually It absolutely would have accelerated directly into the back of the 18-wheeler. I was maybe 5 ft and it was still accelerating when I slammed on the brakes. I've been able to since reproduce the effects, it doesn't register 18 wheelers correctly in this specific situation as vehicles. I've even had the camera recalibrated in between tests.   I have everything on video but unfortunately do not have access to the car's computer logs. I would be willing to send in my ECU for whatever is needed to identify this further.",IVOQ,N,,N,N,N,,,,,,65,,,,,,,,,,,,,,V,,N,N,,,A_multi_cmplid
1843079,11486092,"Kia America, Inc.",KIA,OPTIMA,2017,N,20220923,N,0,0,FORWARD COLLISION AVOIDANCE: ADAPTIVE CRUISE CONTROL,Savannah ,GA,5XXGW4L23HG,20220923,20220923,,,"I was driving with an SUV in front of me at 18-wheeler in front of them. This is on a road where the speed limit is 65 however there's a section on 301 where there's a traffic light. All three vehicles came to a slow normal stop  and the adaptive cruise control was doing a good job of slowing the vehicle down without my input. But the SUV when we were at about stopping speed but had not yet come to a complete stop, the SUV switched to the left lane. At which point I was maybe 20 ft behind the 18-wheeler and all of a sudden the car is adaptive cruise control tried to accelerate the car back up to the setting of 65. It didn't register the 18-wheeler at all It just registered that the car in front of me had cleared the space and if I had not been paying attention and immediately applied the brakes to stop the car manually It absolutely would have accelerated directly into the back of the 18-wheeler. I was maybe 5 ft and it was still accelerating when I slammed on the brakes. I've been able to since reproduce the effects, it doesn't register 18 wheelers correctly in this specific situation as vehicles. I've even had the camera recalibrated in between tests.   I have everything on video but unfortunately do not have access to the car's computer logs. I would be willing to send in my ECU for whatever is needed to identify this further.",IVOQ,N,,N,N,N,,,,,,65,,,,,,,,,,,,,,V,,N,N,,,A_multi_cmplid
1859969,11497859,Hyundai Motor America,HYUNDAI,ELANTRA GT,2018,N,20221119,N,0,0,LANE DEPARTURE: BLIND SPOT DETECTION,Ponte Vedra Beach,FL,KMHH35LE4JU,20221217,20221217,,,"The collision warning system has failed 4 or 5 times since I bought the car new in March of 2019.  When the system stops working, the warning ""Check BSD"" appears on the driver's display. A couple of times the system started working without service. Other times service was required. The last time Hyundai service said the system went out of calibration. No explanation of how that would occur. They re-calibrated the system. Of course, once the system stops working, I have to remember that I won't get a warning when changing lanes or parking, so I must be sure to use extra careful. (I always look when I change lanes, but the warning system gives me extra confidence. I am sure many other people just rely on the system.)",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,,,A_multi_cmplid
1859970,11497859,Hyundai Motor America,HYUNDAI,ELANTRA GT,2018,N,20221119,N,0,0,FORWARD COLLISION AVOIDANCE: WARNINGS,Ponte Vedra Beach,FL,KMHH35LE4JU,20221217,20221217,,,"The collision warning system has failed 4 or 5 times since I bought the car new in March of 2019.  When the system stops working, the warning ""Check BSD"" appears on the driver's display. A couple of times the system started working without service. Other times service was required. The last time Hyundai service said the system went out of calibration. No explanation of how that would occur. They re-calibrated the system. Of course, once the system stops working, I have to remember that I won't get a warning when changing lanes or parking, so I must be sure to use extra careful. (I always look when I change lanes, but the warning system gives me extra confidence. I am sure many other people just rely on the system.)",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,,,A_multi_cmplid
1859971,11497859,Hyundai Motor America,HYUNDAI,ELANTRA GT,2018,N,20221119,N,0,0,BACK OVER PREVENTION: REARVIEW SYSTEM BRAKING,Ponte Vedra Beach,FL,KMHH35LE4JU,20221217,20221217,,,"The collision warning system has failed 4 or 5 times since I bought the car new in March of 2019.  When the system stops working, the warning ""Check BSD"" appears on the driver's display. A couple of times the system started working without service. Other times service was required. The last time Hyundai service said the system went out of calibration. No explanation of how that would occur. They re-calibrated the system. Of course, once the system stops working, I have to remember that I won't get a warning when changing lanes or parking, so I must be sure to use extra careful. (I always look when I change lanes, but the warning system gives me extra confidence. I am sure many other people just rely on the system.)",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,,,A_multi_cmplid
1862545,11499666,"Kia America, Inc.",KIA,RONDO,2009,N,20220908,N,0,0,ELECTRICAL SYSTEM,Coventry,RI,KNAFG529297,20230101,20230101,,,I had to replace the tires on this car several times in 3 years. They alarm had a glitch that the car would not start and you had to take it specifically to a Kia dealer to have they alarm reprogrammed. Even upon repairs to your local mechanic. Costing them more money and me more money because they could not get in the car by pass they alarm without using kia first to reprogram it.  The brakes locked up. The lights woukd go off for airbag and stay on. The anti lick brake light would stay on .. Very dangerous. I had to spend more money to because of they alarm. Even just replacing the battery in the alarm remote cost more money for the remote and the programming of the remote . You could not just replace the battery. The tires and brakes gave me several issues in 3 years  To the tube of close 3000. And that's being fair. ,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,,,A_multi_cmplid
1862546,11499666,"Kia America, Inc.",KIA,RONDO,2009,N,20220908,N,0,0,FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING,Coventry,RI,KNAFG529297,20230101,20230101,,,I had to replace the tires on this car several times in 3 years. They alarm had a glitch that the car would not start and you had to take it specifically to a Kia dealer to have they alarm reprogrammed. Even upon repairs to your local mechanic. Costing them more money and me more money because they could not get in the car by pass they alarm without using kia first to reprogram it.  The brakes locked up. The lights woukd go off for airbag and stay on. The anti lick brake light would stay on .. Very dangerous. I had to spend more money to because of they alarm. Even just replacing the battery in the alarm remote cost more money for the remote and the programming of the remote . You could not just replace the battery. The tires and brakes gave me several issues in 3 years  To the tube of close 3000. And that's being fair. ,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,,,A_multi_cmplid
1899668,11525342,"Kia America, Inc.",KIA,TELLURIDE,2023,N,20230602,N,0,0,ELECTRICAL SYSTEM,Bellbrook,OH,5XYP3DGC6PG,20230605,20230605,,,"The driver dashboard went blank except for randomly flashing nonsense numbers. Vehicle speed, fuel level, engine RPM and other vehicle information was lost. Additionally forward collision avoidance, lane keep and departure, adaptive cruise, emergency braking and blind spot warning systems became inactive. I am unsure if the antilock brake system and stability controls are functional. My safety was put at risk because i was unsure of vehicle speed and loosing all driver assistance tools. The problem has been persistent since it 1st occurred. The vehicle is going to the dealer today, 05 June 2023. Immediately before the driver dash going blank, the entire driver dashboard showed all warnings lights before going blank.",IVOQ,N,,N,N,N,,,,,,15,,,,,,,,,,,,,,V,,N,N,,,A_multi_cmplid
1899669,11525342,"Kia America, Inc.",KIA,TELLURIDE,2023,N,20230602,N,0,0,VEHICLE SPEED CONTROL,Bellbrook,OH,5XYP3DGC6PG,20230605,20230605,,,"The driver dashboard went blank except for randomly flashing nonsense numbers. Vehicle speed, fuel level, engine RPM and other vehicle information was lost. Additionally forward collision avoidance, lane keep and departure, adaptive cruise, emergency braking and blind spot warning systems became inactive. I am unsure if the antilock brake system and stability controls are functional. My safety was put at risk because i was unsure of vehicle speed and loosing all driver assistance tools. The problem has been persistent since it 1st occurred. The vehicle is going to the dealer today, 05 June 2023. Immediately before the driver dash going blank, the entire driver dashboard showed all warnings lights before going blank.",IVOQ,N,,N,N,N,,,,,,15,,,,,,,,,,,,,,V,,N,N,,,A_multi_cmplid
